,WELL_BORE_CODE,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,FLOW_KIND,WELL_TYPE
5857,NO 15/9-F-14 H,252.2,106.55,59.05,48.45,93.12,14.91,2363.13,341715.29,3357.51,production,OP
5858,NO 15/9-F-14 H,252.21,106.54,59.06,48.4,92.86,14.85,2363.81,341180.3,3356.34,production,OP
5859,NO 15/9-F-14 H,252.14,106.54,59.06,48.34,92.91,14.79,2361.06,341096.93,3361.6,production,OP
5860,NO 15/9-F-14 H,252.15,106.53,58.98,48.36,93.31,14.81,2354.69,340158.73,3366.45,production,OP
5861,NO 15/9-F-14 H,252.17,106.53,58.99,48.35,93.33,14.81,2360.15,340870.1,3367.57,production,OP
5862,NO 15/9-F-14 H,252.15,106.52,59.13,48.27,92.95,14.73,2359.78,340677.74,3389.72,production,OP
5863,NO 15/9-F-14 H,252.14,106.52,59.16,48.27,93.36,14.71,2357.53,340689.92,3385.17,production,OP
5864,NO 15/9-F-14 H,254.15,106.49,54.62,49.79,92.39,16.71,2065.25,300997.97,3198.8,production,OP
5865,NO 15/9-F-14 H,251.72,106.52,59.28,47.79,92.62,14.91,2307.31,334403.97,3568.92,production,OP
5866,NO 15/9-F-14 H,254.97,106.48,52.8,49.86,90.57,17.24,1976.83,288792.53,3071.36,production,OP
5867,NO 15/9-F-14 H,251.67,106.52,59.24,47.84,93.29,15.24,2314.34,335464.18,3584.64,production,OP
5868,NO 15/9-F-14 H,251.64,106.51,59.14,47.88,93.18,15.28,2323.85,336483.87,3578.61,production,OP
5869,NO 15/9-F-14 H,251.64,106.51,59.05,47.88,93.03,15.28,2328.43,336442.77,3475.14,production,OP
5870,NO 15/9-F-14 H,251.59,106.5,59.13,47.91,93.41,15.29,2331.82,336346.58,3489.98,production,OP
5871,NO 15/9-F-14 H,251.57,106.5,59.19,47.93,93.17,15.33,2326.48,336776.43,3494.39,production,OP
5872,NO 15/9-F-14 H,251.52,106.49,59.2,47.89,93.32,15.29,2325.93,336865.46,3502.06,production,OP
5873,NO 15/9-F-14 H,251.49,106.49,59.23,47.87,93.51,15.27,2326.15,335954.39,3498.32,production,OP
5874,NO 15/9-F-14 H,252.44,106.48,57.29,48.83,93.31,16.49,2278.69,327273.0,3399.59,production,OP
5884,NO 15/9-F-14 H,269.17,105.74,32.32,70.13,82.34,37.59,1114.31,162282.27,1747.37,production,OP
5885,NO 15/9-F-14 H,266.63,106.13,35.23,69.32,90.32,36.12,1536.1,215332.1,1688.11,production,OP
5886,NO 15/9-F-14 H,269.23,106.13,33.09,72.31,90.26,39.28,1426.09,197440.27,1646.7,production,OP
5887,NO 15/9-F-14 H,263.7,106.17,37.38,65.92,89.58,32.83,1529.07,217223.36,2653.57,production,OP
5888,NO 15/9-F-14 H,251.65,106.39,51.2,53.02,92.31,20.07,2454.88,453753.37,2718.56,production,OP
5889,NO 15/9-F-14 H,255.42,106.36,45.03,57.11,92.31,24.39,2247.64,332337.45,2550.57,production,OP
5890,NO 15/9-F-14 H,254.58,106.37,45.95,56.46,92.26,23.73,2285.77,338531.35,2669.62,production,OP
5891,NO 15/9-F-14 H,255.26,106.37,45.44,56.92,91.07,24.23,2229.82,331444.66,2835.67,production,OP
5892,NO 15/9-F-14 H,254.94,106.37,45.98,56.32,88.98,23.39,2205.88,316423.16,2782.46,production,OP
5893,NO 15/9-F-14 H,254.26,106.38,46.98,55.54,89.95,22.78,2233.58,333180.65,3073.98,production,OP
5894,NO 15/9-F-14 H,253.83,106.38,47.76,54.81,89.27,22.03,2235.48,334409.15,2977.05,production,OP
5895,NO 15/9-F-14 H,252.62,106.39,50.01,53.22,89.19,20.36,2287.35,342163.7,3235.39,production,OP
5896,NO 15/9-F-14 H,252.03,106.4,51.26,52.32,90.63,19.41,2392.5,357523.67,3148.64,production,OP
5897,NO 15/9-F-14 H,252.66,106.4,50.77,52.59,92.31,19.64,2040.53,299748.63,2730.4,production,OP
5899,NO 15/9-F-14 H,272.57,105.96,30.67,68.78,82.95,37.25,1132.83,171566.3,1679.93,production,OP
5900,NO 15/9-F-14 H,285.46,105.98,16.27,83.81,83.71,52.57,141.84,22134.17,197.8,production,OP
5902,NO 15/9-F-14 H,268.52,105.66,28.16,62.27,75.66,29.75,511.55,78544.37,750.64,production,OP
5903,NO 15/9-F-14 H,261.41,106.19,38.11,62.47,90.32,30.0,1935.39,288903.89,2792.69,production,OP
5904,NO 15/9-F-14 H,270.68,106.05,28.36,68.83,83.9,36.4,1071.23,159450.29,1717.64,production,OP
5906,NO 15/9-F-14 H,261.36,105.78,33.35,66.5,80.4,34.98,863.11,131405.4,940.24,production,OP
5907,NO 15/9-F-14 H,251.37,106.21,42.31,60.4,89.9,28.36,2517.2,360332.19,2657.9,production,OP
5908,NO 15/9-F-14 H,250.55,106.24,42.91,59.38,89.05,27.27,2501.74,367969.88,2631.83,production,OP
5909,NO 15/9-F-14 H,246.9,106.29,47.07,56.03,90.7,23.72,2758.98,399923.7,2759.09,production,OP
5910,NO 15/9-F-14 H,245.18,106.32,49.23,54.28,90.79,21.89,2718.36,393505.06,2422.97,production,OP
5911,NO 15/9-F-14 H,243.45,106.31,50.11,53.09,90.69,20.71,2793.71,408499.13,2463.09,production,OP
5912,NO 15/9-F-14 H,243.62,106.29,49.8,52.8,90.77,20.31,2678.29,392563.61,2350.2,production,OP
5913,NO 15/9-F-14 H,240.59,106.32,55.4,49.78,91.54,17.27,2845.14,423344.21,2793.89,production,OP
5914,NO 15/9-F-14 H,240.72,106.32,56.67,49.18,90.04,16.67,2824.83,420324.43,2526.53,production,OP
5915,NO 15/9-F-14 H,240.21,106.33,59.74,48.04,88.75,15.48,2846.78,424316.33,2916.99,production,OP
5916,NO 15/9-F-14 H,248.14,106.16,50.32,51.36,81.89,20.89,1121.73,161030.08,3529.48,production,OP
5917,NO 15/9-F-14 H,242.42,106.29,58.98,49.31,85.24,16.85,2653.1,398467.59,2996.01,production,OP
5918,NO 15/9-F-14 H,239.21,106.34,65.23,46.29,87.66,13.77,2856.51,429064.23,2860.4,production,OP
